Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Loại bìa,Số trang,Nhà xuất bản,Ngày xuất bản,Kích thước,Phương thức giao hàng Seller Delivery,Bookcare,Dịch Giả,Ngôn ngữ,ISBN-13,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Sản phẩm có được bảo hành không?,Hình thức bảo hành,Thời gian bảo hành,Chất liệu,Phiên bản sách,ISBN-10
Nỗi buồn chiến tranh,95000,130000,130000,"Tác phẩm là dòng hồi ức của người lính về chiến tranh và thời tuổi trẻ đã trải qua trong bom đạn. Đó là lòng tiếc thương vô hạn đối với những người cùng thế hệ với mình đã nằm xuống, là ám ảnh về thân...",3316,35000,27,5.0,301,Bảo Ninh,NXB Trẻ,Bìa mềm,348,NXB Trẻ,2022-08-22 00:00:00,13x20cm,,,,,,,,,,,,,Phiên bản thường,
Combo 2 cuốn Truyện Dành Cho Thiếu Nhi : Tuổi Thơ Dữ Dội - Tập 1 + 2 (Tái Bản),104000,160000,160000,"Combo 2 cuốn Truyện Dành Cho Thiếu Nhi : Tuổi Thơ Dữ Dội - Tập 1 + 2 (Tái Bản)Giới thiệu tác giảPhùng Quán là một trong những nhà văn nổi tiếng của Việt Nam, được biết đến với những tác phẩm chân t...",1275,56000,35,5.0,114,N/A, NXB Kim Đồng,,,Nhà Xuất Bản Kim Đồng,,,,,,Tiếng Việt,,,,,,,,,,
Nhật ký Đặng Thùy Trâm,63000,90000,90000,"Một cuốn nhật kí nhặt được bên xác của một nữ Việt Cộng đã suýt bị người lính Mỹ ném vào lửa, nhưng người phiên dịch đã khuyên anh ta nên giữ lại vì ""trong đó có lửa"". Nhật kí Đặng Thùy Trâm là những ...",1877,27000,30,5.0,121,Đặng Thùy Trâm,Nhã Nam,Bìa mềm,296,Nhà Xuất Bản Hội Nhà Văn,2022-06-01 00:00:00,13 x 20.5 cm,,,,,,,,,,,,,Phiên bản thường,
Nếu Biết Trăm Năm Là Hữu Hạn,120000,159000,159000,"Nếu biết trăm năm là hữu hạn ngay từ tên gọi đã rất gợi mở và đầy ẩn ý. Với những cảm xúc sâu lắng, bao gồm những bài viết ngắn, đầy chất thơ, chiêm nghiệm về mọi vấn đề của cuộc sống hôm nay, với nhữ...",1731,39000,25,5.0,247,Phạm Lữ Ân,Phương Nam Book,Bìa mềm,268,Nhà Xuất Bản Thế Giới,2022-04-04 00:00:00,13 x 20.5cm,,,,,,,,,,,,,,
Những Kẻ Âu Lo,133000,180000,180000,"Từ tác giả cuốn sách bán chạy số 1 New York Times – Người đàn ông mang tên Ove “Một cuốn tiểu thuyết khác thường, đầy lòng trắc ẩn… Hài hước, tinh quái và buồn cười đau ruột, đây là một câu chuyện ho...",1380,47000,26,5.0,132,Fredrik Backman,NXB Trẻ,Bìa mềm,544,NXB Trẻ,2022-02-28 00:00:00,13x20cm,,,Hoàng Anh,,,,,,,,,,Phiên bản thường,
Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),114300,179000,179000,"Tiến sĩ, bác sĩ tâm thần, nhà nghiên cứu nhận thức và giảng viên tâm linh nổi tiếng người Mỹ, ông David R.Hawkins (1927–2012), đã chứng minh được mối liên hệ mật thiết giữa bệnh tật của con người và n...",6937,64700,36,5.0,582,David R.Hawkins,Thái Hà,Bìa mềm,398,Nhà Xuất Bản Thế Giới,2022-02-02 00:00:00,15.5 x 24 cm,,,Phạm Nguyên Trường,,,,,,,,,,Phiên bản thường,
Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),73800,90000,90000,"Sách Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản 2021) “Bạn hối tiếc vì không nắm bắt lấy một cơ hội nào đó, chẳng có ai phải mất ngủ.Bạn trải qua những ngày tháng nhạt nhẽo với công việc bạn căm ghét, ...",1401,16200,18,5.0,180,Rosie Nguyễn,Nhã Nam,Bìa mềm,291,Nhà Xuất Bản Hội Nhà Văn,2021-07-01 00:00:00,14 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,148500,165000,165000,Xa Ngoài Kia Nơi Loài Tôm Hát   Sáu triệu bản bán ra trên toàn thế giới58 tuần trong danh sách bán chạy của New York TimesDẫn đầu mục tiểu thuyết bán chạy của Amazon trong năm 2019   Trong nhiều năm...,137,16500,10,4.8,38,Delia Owens,NXB Trẻ,,,NXB Trẻ,,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),75400,98000,98000,"NGƯỜI GIÀU CÓ NHẤT THÀNH BABYLONNgười giàu có nhất thành Babylon (tiếng Anh: The Richest Man in Babylon) được xem là một trong những tác phẩm truyền cảm hứng lớn nhất về chủ đề tiết kiệm, kế hoạch tài...",2431,22600,23,5.0,354,GEORGE SAMUEL CLASON,First News - Trí Việt,Bìa gập,216,Nhà Xuất Bản Tổng hợp TP.HCM,2020-06-01 00:00:00,13 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,Võ Hưng Thanh,,,,,,,,,,,
Trường Ca Achilles (Quà Tặng Kèm: 01 Bookmark + 01 Phụ Lục),118500,156000,156000,"""HUYỀN THOẠI BẮT ĐẦU…Hy Lạp vào thời hoàng kim của các anh hùng. Patroclus là một hoàng tử trẻ vụng về, bị trục xuất tới vương quốc Phthia và được nuôi dạy dưới sự che chở của vua Peleus cùng cậu con...",681,37500,24,5.0,196,Madeline Miller,Wings Books,Bìa mềm,444,Nhà Xuất Bản Kim Đồng,,14 x 22.5 cm,Nhà bán giao hàng cho khách hàng,,Jack Frogg,,,,,,,,,,,
Tối Đa Hóa Hiệu Suất Công Việc – Việc 12 Tháng Làm Trong 12 Tuần,125000,169000,169000,"Chúng ta ai cũng có 24h mỗi ngày, có người thành công nhưng cũng có kẻ thất bại. Và cái hơn nhau ở chỗ người thành công họ tối đa hóa hiệu suất công việc.Cách bạn bắt đầu hay kết thúc một ngày đều có...",1496,44000,26,4.7,173,N/A,BIZBOOKS,,,Nhà Xuất Bản Hồng Đức,,,,,,,,,,,,,,,,
Sách Hiểu Về Trái Tim (Tái Bản 2019) - Minh Niệm,126400,158000,158000,"Hiểu Về Trái Tim – Cuốn Sách Mở Cửa Thề Giới Cảm Xúc Của Mỗi NgườiXuất bản lần đầu tiên vào năm 2011, Hiểu Về Trái Tim trình làng cũng lúc với kỷ lục: cuốn sách có số lượng in lần đầu lớn nhất: 100....",36894,31600,20,4.8,3714,Minh Niệm,First News - Trí Việt,Bìa mềm,480,Nhà Xuất Bản Tổng hợp TP.HCM,2019-11-01 00:00:00,13 x 20.5 cm,,,,,,,,,,,,,Phiên bản thường,
Hiểu Nghèo Thoát Nghèo (Tái Bản),144000,160000,160000,Tại sao người nghèo khi có thêm tiền thì mua tivi thay vì mua thực phẩm?Phải chăng việc sinh nhiều con là lý do thực sự khiến gia đình nghèo đi?Tại sao nhiều chính sách xóa nghèo được cho là “thần...,42,16000,10,5.0,9,Abhijit V. Banerjee,NXB Trẻ,Bìa mềm,444,,2019-10-01 00:00:00,13 x 20 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Tuổi Thơ Dữ Dội - Tập 1 (Tái Bản),64000,80000,80000,"“Tuổi Thơ Dữ Dội” là một câu chuyện hay, cảm động viết về tuổi thơ. Sách dày 404 trang mà người đọc không bao giờ muốn ngừng lại, bị lôi cuốn vì những nhân vật ngây thơ có, khôn ranh có, anh hùng có, ...",330,16000,20,5.0,53,Phùng Quán,Nhà Xuất Bản Kim Đồng,Bìa mềm,400,,2019-05-01 00:00:00,13.5 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Đàn Ông Sao Hỏa Đàn Bà Sao Kim,139000,188000,188000,"Ngày xửa ngày xưa, những người sao Hỏa và sao Kim đã gặp gỡ, yêu nhau và sống hạnh phúc bởi họ tôn trọng và chấp nhận mọi điều khác biệt. Rồi họ đến Trái Đất và chứng lãng quên đã xảy ra: Họ quên rằng...",53541,49000,26,4.8,4203,John Gray,KNBooks,Bìa mềm,488,Nhà Xuất Bản Phụ Nữ Việt Nam,2019-01-01 00:00:00,14.5 x 20.5 cm,,,Nguyễn Thanh Nhàn,,,,,,,,,,Phiên bản thường,
Ngàn Mặt Trời Rực Rỡ (Tái Bản),98800,130000,130000,"Bốn thập kỷ biến động và ly tán ở Afghanistan, một lối dẫn dắt chân thực bậc thầy, câu chuyện về những số phận bị vùi dập nhưng đầy ám ảnh. Với Ngàn mặt trời rực rỡ, Khaled Hossini đã chứng minh thành...",368,31200,24,5.0,65,Khailed Hosseini,Nhã Nam,Bìa mềm,,,2018-12-01 00:00:00,,Nhà bán giao hàng cho khách hàng,,,,,,,,,,,,,
Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền - Cha Giàu Cha Nghèo (Tái Bản),60000,80000,80000,"Một quốc gia có thể tồn tại như thế nào nếu việc dạy trẻ con quản lý tiền bạc vẫn là trách nhiệm của phụ huynh, mà hầu hết họ không có nhiều kiến thức về vấn đề này?Chúng ta phải làm gì để thay đổi s...",38480,20000,25,4.8,3574,Robert T. Kiyosaki,NXB Trẻ,Bìa mềm,193,NXB Trẻ,2018-11-29 09:00:19,<p>15 x 20.5 cm</p>,,,Thiên Kim,,,,,,,,,,Phiên bản thường,
​Liễu Phàm Tứ Huấn (Tái Bản 2018),39600,59000,59000,"​Liễu Phàm Tứ Huấn (Tái Bản 2018)Là cuốn sách được lưu truyền rộng rãi trong dân gian Trung Quốc từ bao đời nay. Liễu Phàm tiên sinh là bậc học rộng, ngay từ nhỏ đã say mê nghiên cứu sách vở, sau đỗ ...",5116,19400,33,4.8,279,Liễu Phàm,Thái Hà,Bìa mềm,141,Nhà Xuất Bản Lao Động,2018-06-13 00:00:00,13 x 20.5 cm,,,,,,,,,,,,,,
Tạp chí Kiến Trúc và Đời Sống số 228 (Tháng 6-2025) - Làm nhà: Vai trò của gia chủ,35800,35800,35800,"Khi làm nhà, mỗi người có mỗi cách quản lý khác nhau. Cóngười thì ngay khi khởi công dã giao hết cho thầy, thợ cho dến khihoàn thiện. Có người thì tham gia từ A tới Z, mỗi chút, mỗi chútdều can thiệp,...",62,0,0,5.0,1,Nhiều,Công ty TNHH Không Gian Sống Media,Bìa mềm,,Công ty TNHH Không Gian Sống Media,,,,,,,,,,,,,,,,
Good Energy - Năng Lượng Tốt,144270,229000,229000,"Sức khỏe không chỉ là kết quả của di truyền hay may mắn, nó là hệ quả trực tiếp của cách mỗi cá nhân trao đổi chất với thế giới xung quanh. “Good Energy – Năng Lượng Tốt” là lời kêu gọi mạnh mẽ nhằm t...",47,84730,37,5.0,3,N/A,1980 Books,Bìa mềm,430,Nhà Xuất Bản Công Thương,,14 x 20.5,,Có,Hà Anh,,,,,,,,,,,
Combo Hồi Ức Hành Trình Vì Hòa Bình - Nguyễn Chí Vịnh + Từ Sông Bến Hải Đến Dinh Độc Lập,270000,270000,270000,"1. Hồi Ức Hành Trình Vì Hòa Bình - Nguyễn Chí VịnhSách “Hành trình vì hòa bình” có 6 chương, gồm: “Dò đường”, “Chuẩn bị và lên đường”, “Chuyện kể từ châu Phi”, “Nhìn lại và suy ngẫm”, “Hành trình tiếp...",19,0,0,5.0,1,nhieu tac gia,Alphabooks,Bìa mềm,700,Nhà Xuất Bản Quân Đội Nhân Dân,,<p>24 x16</p>,,,,,,,,,,,,,,
Solo Leveling - Tôi Thăng Cấp Một Mình - Tập 20 [Tặng Kèm Card PVC],79200,88000,88000,"Bắt đầu từ vụ án thợ săn cấp quốc gia bị sát hại ở Mĩ, những kẻ nhắm đến Jin Woo rục rịch ra tay. Sung Jin Woo đã đề nghị cục Quản lí được tới chỗ đặt xác Rồng Camish - Từng là thảm họa kinh hoàng nhấ...",15,8800,10,0.0,0,Nhiều tác giả,Nhà Xuất Bản Kim Đồng,Bìa mềm,168,Nhà Xuất Bản Kim Đồng,,14.5x20.5cm,,,,,,,,,,,,,,
Chúa tể rừng xanh,37000,40000,40000,"Leo là một chú sư tử trắng. Chú là con trai của Panja - chúa tể rừng xanh ở một cánh rừng tại châu Phi. Cha chú đã bị thợ săn bắn chết, còn mẹ bị bắt đem tới vườn thú và hạ sinh chú trên tàu vận chuyể...",35,3000,8,5.0,1,Osamu Tezuka,NXB Trẻ,Bìa mềm,174,NXB Trẻ,2025-05-02 15:23:36,,,,,,,,,,,,,,,
Phiếu Trả Lời Trắc Nghiệm (5 tờ),1800,2500,2500,"Phiếu Trả Lời Trắc Nghiệm- Phiếu trắc nghiệm chuẩn, form bám sát cấu trúc Bộ Giáo Dục.- Dành cho các bạn học sinh muốn luyện đề, luyện tập kĩ năng tô trắc nghiệm đỉnh cao để khi đi thi đạt được kết ...",66,700,28,0.0,0,N/A,,,,,,,Nhà bán giao hàng cho khách hàng,,,,,Fahasa,Việt Nam,Việt Nam,Không,,,,,
Bộ Truyện - Itto - Cơn lốc sân cỏ,157500,175000,175000,"Vui nhộn, hài huớc và đầy kịch tính - thật đáng tiếc nếu các bạn bỏ qua bộ truyện tranh Itto - Cơn Lốc Sân Cỏ. Và sẽ càng háo hức hơn giờ đây, chúng ta sẽ đuợc thuởng thức một bộ truyện tranh nguyên g...",62,17500,10,5.0,8,Motoki Monma,Nhà Xuất Bản Kim Đồng,Bìa mềm,200,Nhà Xuất Bản Kim Đồng,,13x18 cm,,,,,,,,,,,,,,
Co - Intellgence - Trí Tuệ Đồng Hành  - Kỷ nguyên sống và làm việc cùng AI,123500,190000,190000,"TRÍ TUỆ ĐỒNG HÀNHKỷ nguyên sống và làm việc cùng AIAI không còn là một công nghệ viễn tưởng – nó đã trở thành một phần của đời sống, công việc và cách chúng ta tư duy. Nhưng làm thế nào để sống và l...",128,66500,35,4.5,4,Ethan Mollick,Saigon Books,Bìa mềm,300,Nhà Xuất Bản Thế Giới,2025-03-20 00:00:00,"14 cm x 20,5 cm",,,Nhóm dịch 1441,,,,,,,,,,,
Tiếng gọi chân trời - Nguyễn Ngọc Tư,65000,95000,95000,"Những con người văng mình vào những cuộc đi-về, vào cuộc mất-còn của những chuẩn mực sống, những mối quan hệ ấm lạnh của cuộc đời khi mà giá trị vật chất lên ngôi. Vẫn phong cách quen thuộc: mộc mạc, ...",483,30000,32,5.0,18,Nguyễn Ngọc Tư,NXB Trẻ,Bìa mềm,152,NXB Trẻ,2025-03-04 00:00:00,,,,,,,,,,,,,,,
Chuyện Con Mèo Dạy Hải Âu Bay,42000,60000,60000,"Chuyện Con Mèo Dạy Hải Âu Bay (Tái Bản 2019)Giới thiệu tác giảSinh năm 1949 tại Chile, Luis Sepúlveda đã trải qua những năm tháng đầy biến động dưới chế độ độc tài của Augusto Pinochet. Chính những ...",30602,18000,30,5.0,2799,Luis Sepulveda,Nhã Nam,Bìa mềm,144,Nhà Xuất Bản Thế Giới,2019-06-01 00:00:00,14 x 20.5 cm,,,Phương Huyên,Tiếng Việt,,,,,,,,,Phiên bản thường,
Chăm Sóc Bản Thân Thật Sự,100640,148000,148000,"Để không còn chạy theo những phương pháp chữa lành sáo rỗngNgày nay, khi nói đến “chăm sóc bản thân”, nhiều người nghĩ ngay đến những buổi spa thưgiãn, khóa học yoga hay những phương pháp chăm sóc da...",258,47360,32,5.0,7,MD,First News - Trí Việt,Bìa mềm,220,Nhà Xuất Bản Dân Trí,2024-03-12 00:00:00,"12,5 x 18 cm",,,Phương Ánh,,,,,,,,,,,
Series các tập Claymore,32000,35800,35800,"Giới thiệu“Yoma”, một thực thể quái vật chuyên ăn nội tạng và đội lốt chính nạn nhân của chúng để trà trộn vào nhân gian. Sau quãng thời gian dài không thể phản kháng, cuối cùng đã xuất hiện một tổ c...",281,3800,11,4.8,14,Norihiro Yagi,NXB Trẻ,Bìa mềm,186,NXB Trẻ,2024-11-15 00:00:00,11.3x17.6cm,,,,,,,,,,,,,,
Sách Vở bài tập Tiếng Việt 5- tập một- Chân Trời Sáng Tạo (Kèm Nilon bọc Sách),29000,29000,29000,NXB: NXB Giáo Dục Việt NamTác giả: Nhiều tác giảNăm XB: 2024Số trang: 128 trangHình thức: Bìa mềmKhổ: 17x24cm...,59,0,0,0.0,0,N/A,Cty Sách & Thiết Bị Trường Học TP.HCM,,128,Nhà Xuất Bản Giáo Dục Việt Nam,,,,,,Tiếng Việt,,,,,,,,,,
Đọc Vị Mọi Vấn Đề Của Trẻ - Giải Mã Mọi Vấn Đề Về Nuôi Con Nhỏ: Ăn - Ngủ - Kỷ Luật Hành Vi,143400,239000,239000,"Thưa các ông bố, bà mẹ, các em bé sơ sinh và các em bé chập chững biết đi yêu quý nhất, chính niềm vui và sự khiêm tốn đã đem lại cho tôi điều bí mật quan trọng nhất trong việc thì thầm với trẻ: cách ...",5562,95600,40,5.0,586,Tracy Hogg,Thái Hà,Bìa mềm,512,Nhà Xuất Bản Lao Động,2021-05-01 00:00:00,21 x 23.5 cm,,,"Hachun Lyonnet, Mẹ Ong Bông, Trần Huyền",,,,,,,,,,Phiên bản thường,
Cẩm Nang Hướng Dẫn Tẩy Sỏi Gan Mật - Phương Pháp Diệu Kỳ Cho Sức Khỏe Dài Lâu,148000,229000,229000,"Hầu hết mọi người cho rằng sỏi mật chỉ có trong túi mật. Đây là nhận thức phổ biến, nhưng sai lầm. Thực ra phần lớn sỏi mật được hình thành ở gan, chỉ có một số được tạo ra ở túi mật. Bạn có thể dễ dà...",1479,81000,35,4.8,192,Andreas Moritz,Thái Hà,Bìa mềm,504,Nhà Xuất Bản Thế Giới,2020-09-15 00:00:00,15.5 x 24 cm,,,Nhóm dịch Viethealthy,,,,,,,,,,Phiên bản thường,
Phạm Xuân Ẩn - Tên người như cuộc đời - TB2024,85000,120000,120000,"Phạm Xuân Ẩn - Cuộc đời hai mặt không thể tin được. Quả đúng như lời Larry Berman đã nhận định về ông. Ngược thời gian vài chục năm trở về trước, ông Ấn quả tỉnh là ẩn số. Việc tiếp cận đã khó, đối th...",286,35000,29,5.0,27,Nguyễn Thị Ngọc Hải,NXB Tổng hợp TP.HCM,Bìa mềm,244,Nhà Xuất Bản Tổng hợp TP.HCM,2024-06-01 00:00:00,13x20 cm,,,,,,,,,,,,,,
Luật Tâm Thức – Vũ Trụ Nhất Nguyên Luận,207360,288000,288000,"Hãy hiểu luật tâm thức để thực sự thức tỉnh trong “thời đại tỉnh thức”.Con người, dù là theo phái duy vật hay duy tâm, ăn chay hay ăn mặn, có tìm hiểu tâm linh hay không, thì điều cuối cùng chúng ta ...",1812,80640,28,4.7,116,Ngô Sa Thạch,Skybooks,Bìa mềm,480,Nhà Xuất Bản Lao Động,,"15,7x24 cm",,Có,,,,,,,,,,,,
Siêu Nhí Hỏi Nhà Khoa Học Trả Lời - 100 Bí Ẩn Mọi Đứa Trẻ Đều Muốn Hỏi Một Nhà Khoa Học,198100,299000,299000,"Siêu Nhí Hỏi Nhà Khoa Học Trả Lời - 100 Bí Ẩn Mọi Đứa Trẻ Đều Muốn Hỏi Một Nhà Khoa HọcLời nói đầu/Giới thiệu sách“Tại sao bầu trời có màu xanh?”, “Tại sao các ngôi sao lấp lánh?’’, “Tại sao nước s...",8458,100900,34,4.8,1390,Robert Winston,1980 Books,Bìa cứng,128,Nhà Xuất Bản Dân Trí,2020-04-01 00:00:00,21 x 27 cm,,,1980 Books,,,,,,,,,,Phiên bản thường,
Letting Go - Lộ Trình Đi Đến Sự Buông Bỏ,143200,179000,179000,"Trong cuốn sách mang tính ứng dụng cao này, tiến sĩ, bác sĩ Hawkins làm sáng tỏ một kỹ thuật mà nhờ đó chúng ta có thể siêu việt bản ngã nhỏ bé và bứt phá để đạt được tự do mà ta mong đợi. Ông cho rằn...",0,35800,20,0.0,0,David R. Hawkins,Thái Hà,,384,Nhà Xuất Bản Thế Giới,2023-08-01 00:00:00,15.5x24cm,,,Nhóm tâm lý học tội phạm,,,,,,,,,,,
World History - Lịch Sử Thế Giới,318500,490000,490000,“LỊCH SỬ THẾ GIỚI”: Toàn bộ lịch sử loài người trong 400 trang sách• Bách khoa toàn thư lịch sử cho mỗi gia đình• Hiểu quá khứ để nhìn hiện tại tỏ tường và cởi mở hơn“Lịch sử thế giới” như một b...,904,171500,35,5.0,87,Philip Parker,Zenbooks,Bìa cứng,416,Nhà Xuất Bản Dân Trí,2023-08-01 00:00:00,5 x 19.5 x 23.5 cm,,,Lê Thị Hương Ly,,,,,,,,,,Phiên bản thường,
Combo sách - Biến Mọi Thứ Thành Tiền - Quyển 1+2 - Nguyễn Anh Dũng - SBOOKS,302000,336000,336000,BIẾN MỌI THỨ THÀNH TIỀN - Quyển 1 và 2 của tác giả Nguyễn Anh Dũng là những chia sẻ rất sâu sắc của tác giả về tư duy và phương pháp để tạo ra dòng tiền lâu dài và bền vững dựa trên nền tảng của việc ...,1,34000,10,0.0,0, Nguyễn Anh Dũng,SBOOKS,Bìa mềm,548,Nhà Xuất Bản Thế Giới,2023-07-11 09:46:22,,,,,,,,,,,,,,,
Sách Tiếng Anh Y Khoa dành cho người mới bắt đầu - Tác giả BS. Đỗ Trung Kiên (Tái bản mới nhất 2024),199000,299000,299000,"“Tiếng Anh Y Khoa dành cho người mới bắt đầu” “Các BS Việt Nam cực kỳ giỏi, không hề thua kém các BS nước ngoài, cái mà chúng ta đang thiếu chỉ là tiếng Anh để có thể đọc hiểu y văn thế giới và trao ...",3000,100000,33,5.0,180,N/A,Alpha Books,Bìa mềm,388,Nhà Xuất Bản Thế Giới,2022-09-12 14:13:41,,,,,,,,,,,,,,,
Chủ nghĩa khắc kỷ - phong cách sống bản lĩnh và bình thản (Tái Bản),100000,149000,149000,"Bạn mong muốn điều gì từ cuộc sống này? Có thể câu trả lời của bạn là muốn có một người bạn đời biết quan tâm, một công việc tốt và một ngôi nhà đẹp, nhưng chúng thực ra chỉ là một số thứ bạn muốn có ...",3072,49000,33,4.7,222,William B.Irvine,Thái Hà,Bìa mềm,380,Nhà Xuất Bản Công Thương,2023-02-01 00:00:00,14.5x20.5cm,,,Nhóm Tâm lý học Tội phạm,,,,,,,,,,Phiên bản thường,
Khéo Ăn Nói Sẽ Có Được Thiên Hạ,90500,130000,130000,"Trong xã hội thông tin hiện đại, sự im lặng không còn là vàng nữa, nếu không biết cách giao tiếp thì dù là vàng cũng sẽ bị chôn vùi. Trong cuộc đời một con người, từ xin việc đến thăng tiến, từ tình y...",3975,39500,30,4.8,136,Trác Nhã,Minh Long,Bìa mềm,404,Nhà Xuất Bản Văn Học,2022-08-08 00:00:00,15x21x2.5 cm,,,Cuốn,,,,,,,,,,Phiên bản thường,
Yêu Những Ngày Nắng Chẳng Ghét Những Ngày Mưa,46200,132000,132000,"Sau thành công của “Tô bình yên vẽ hạnh phúc” và “Mình chỉ là người bình thường”, chàng họa sĩ nổi tiếng đa tài Kulzsc đã quay trở lại với “Yêu những ngày nắng Chẳng ghét những ngày mưa”. Cuốn sách là...",5916,85800,65,5.0,919,Kulzsc,Skybooks,Bìa mềm,168,Nhà Xuất Bản Phụ Nữ,2022-07-01 00:00:00,14.5 x 20.5 cm,,,,,,,,,,,,,Phiên bản thường,
Điệp Viên Hoàn Hảo X6 (Bìa Mềm),121040,178000,178000,"Cuộc đời hai mặt phi thường của PHẠM XUÂN ẨN Phóng viên Reuters, Time, New York Herald Tribune… &Tướng Tình Báo Chiến Lược Việt Nam VÀ CÔNG BỐ TRAO BẢN QUYỀN “ĐIỆP VIÊN HOÀN HẢO X6” CHO FIRST NEWS...",1364,56960,32,5.0,128,Larry Berman,FIRST NEWS,Bìa mềm,392,Nhà Xuất Bản Hồng Đức,2022-06-06 00:00:00,16 x 24 cm,,,Đỗ Hùng,,,,,,,,,,Phiên bản thường,
Ngôi Nhà Bên Bờ Biển Xanh Thẳm,133243,199000,199000,"Ngôi Nhà Bên Bờ Biển Xanh Thẳm(The House in the Cerulean Sea – T.J.Klune)Sách bán chạy của New York Times, USA Today và Washington Post.Đoạt giải thưởng Alex Awards 2021 - Giải thưởng hàng năm tôn ...",3423,65757,33,5.0,502,T.J.Klune,Asbooks,Bìa mềm,640,Nhà Xuất Bản Thế Giới,2022-04-30 00:00:00,14 x 20.5 cm,,,Jack Frogg,,,,,,,,,,Phiên bản thường,
Đừng Bao Giờ Chia Đôi Lợi Ích Trong Mọi Cuộc Đàm Phán,130000,179000,179000,"Đừng bao giờ chia đôi lợi ích trong mọi cuộc đàm phán – có thể bạn sẽ ngạc nhiên khi biết rằng đây chính là lời khuyên từ một chuyên gia đàm phán giải cứu con tin dày dạn kinh nghiệm của FBI, khi mà q...",1688,49000,27,5.0,90,Chris Voss,Alphabooks,Bìa mềm,420,Nhà Xuất Bản Thế Giới,2022-03-03 00:00:00,13x20.5cm,,,Phan Ngọc Lệ Minh,,,,,,,,,,Phiên bản thường,
Tôi Nói Gì Khi Nói Về Chạy Bộ,64600,76000,76000,"Liệu có gì chung giữa viết văn và chạy bộ? Có, Haruki Murakami trả lời, giản dị, tự tin, bằng hành động viết và bằng cuộc sống của chính mình. Nhà văn Nhật Bản nổi tiếng, tác giả Rừng Na Uy, Biên niên...",146,11400,15,5.0,16,Haruki Murakami,Nhã Nam,Bìa mềm,235,Nhà Xuất Bản Hội Nhà Văn,2021-08-15 00:00:00,13 x 20.5 cm,Nhà bán giao hàng cho khách hàng,,Thiên Nga,,,,,,,,,,,
Khởi Nghiệp Tinh Gọn (The Lean Startup) (Tái Bản),125400,165000,165000,"Khởi Nghiệp Tinh GọnCuốn sách ""Khởi nghiệp Tinh gọn"" (The Lean Startup) trình bày một mô hình khởi nghiệp vang danh toàn cầu, giúp thay đổi toàn bộ cách thức xây dựng công ty và tung ra sản phẩm mới ...",102,39600,24,4.6,15,Eric Ries,Viện Quản lý PACE,Bìa cứng,336,Nhà Xuất Bản Tổng hợp TP.HCM,2021-04-01 00:00:00,15 x 23 cm,Nhà bán giao hàng cho khách hàng,,"Nguyễn Dương Hiếu, Trịnh Hoàng Kim Phượng, Đặng Nguyễn Hiếu Trung",,,,,,,,,,,
Minh Triết Trong Ăn Uống Của Phương Đông (Tái Bản),113887,168000,168000,"Cơ thể được xây đắp bởi đồ ăn thức uống hàng ngày, nguồn năng lượng cho chúng ta hoạt động cũng từ đó. Vì vậy, hiểu biết Minh triết trong Ăn uống của phương Đông là điều vô cùng cần thiết. Tác giả Ngô...",3879,54113,32,5.0,261,Ngô Đức Vượng,First News - Trí Việt,Bìa mềm,128,Nhà Xuất Bản Tổng hợp TP.HCM,2021-03-01 00:00:00,13 x 20.5 cm,,,,,,,,,,,,,Phiên bản thường,
Trí Tuệ Xúc Cảm,163100,199000,199000,"Trí Tuệ Xúc Cảm đã nằm trong danh sách bán chạy nhất của Thời báo New York trong một năm rưỡi, với hơn 5.000.000 bản in trên toàn thế giới bằng 40 ngôn ngữ và đã là sách bán chạy nhất ở nhiều quốc gia...",255,35900,18,4.8,50,Daniel Goleman,Alphabooks,Bìa mềm,468,Nhà Xuất Bản Công Thương,2021-02-24 09:30:15,15 x 23 cm,Nhà bán giao hàng cho khách hàng,,Nguyễn Lê Phương-Phạm Thị Thu Hà,,,,,,,,,,,
