Name,Price (new),Price (old),Price (original),Description,Sold,Discount,Discount Rate,Rating,Review Count,Author,Công ty phát hành,Ngày xuất bản,Loại bìa,Phương thức giao hàng Seller Delivery,Nhà xuất bản,Phiên bản sách,Kích thước,Dịch Giả,Số trang,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ (Made in),Chất liệu,Sản phẩm có được bảo hành không?,Bookcare,Ngôn ngữ
Sách - 50 Đề Minh Họa Tốt Nghiệp THPT 2025 - Môn Tiếng Anh,150000,200000,200000,"    50 Đề Minh Họa Tốt Nghiệp THPT 2025 - Môn Tiếng Anh   - Bản luyện đề trắc nghiệm 2025 theo định dạng mới nhất của bộ Giáo Dục.   - Các câu hỏi được thiết kế theo định hướng đánh giá năng lực,...",19,50000,25,5.0,3,Trang Anh,Aladanh,2023-12-21 14:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Dân Trí,,,,,,,,,,,
Lý Thuyết Trò Chơi,121500,179000,179000,"LÝ THUYẾT TRÒ CHƠIĐời người giống như trò chơi, mỗi bước đều phải cân nhắc xem đi như thế nào, đi về đâu, phải kết hợp nhiều yếu tố lại chúng ta mới có thể đưa ra được lựa chọn. Mà trong quá trình ch...",9363,57500,32,4.7,461,Trần Phách Hàm,1980 Books,2023-07-07 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,Phiên bản thường,13 x 20.5 cm,Vu Vũ,320,,,,,,,
"Túi giấy SDstationery Enjoy Every Moment 13.5x13.5 đựng quà, phụ kiện, mỹ phẩm, họa tiết hoa màu hồng ép kim trẻ trung",18000,18000,18000,"Túi giấy Enjoy Every Moment với thiết kế trang nhã, thích hợp dùng làm túi quà sinh nhật, túi quà tặng sự kiện, túi đựng trang sức, dùng cho các shop phụ kiện, mỹ phẩm…Làm từ giấy chất lượng cao cực ...",133,0,0,5.0,3,N/A,,,,,,,,,,SDstationery,Việt Nam,Việt Nam,<p>Giấy Kraft 150gsm</p>,Không,,
Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,136000,195000,195000,"Trong cuộc chiến thu hút khách hàng, các doanh nghiệp đầu tư hàng triệu đô la để cải thiện trải nghiệm của khách hàng. Họ giao hàng nhanh hơn, tung ra các sản phẩm mới và không ngừng cải tiến giao diệ...",2333,59000,30,4.7,72,Tiffani Bova,1980 Books,2024-06-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,,"13 x 20,5cm",Trương Anh Tuấn,358,,,,,,Có,
Rèn Luyện Tư Duy Phản Biện,93200,139000,139000,"Như bạn có thể thấy, chìa khóa để trở thành một người có tư duy phản biện tốt chính là sự tự nhận thức. Bạn cần phải đánh giá trung thực những điều trước đây bạn nghĩ là đúng, cũng như quá trình suy n...",30743,45800,33,4.8,4830,Albert Rutherford,1980 Books,2019-12-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Phụ Nữ,Phiên bản thường,13 x 19 cm,Nguyễn Ngọc Anh,204,,,,,,,
Nghĩ khác - Làm khác,132000,179000,179000,"Bạn đã bao giờ cảm thấy bế tắc trong suy nghĩ của chính mình? Đó là những thời điểm, bạn đưa ra quyết định hành động với niềm tin rằng đó là lựa chọn đúng đắn, nhưng sau đó, khi mọi thứ sụp đổ, bạn n...",213,47000,26,5.0,7,GS. Trương Nguyện Thành ,Thái Hà,,,,Nhà Xuất Bản Công Thương,,15.5x24 cm,,344,,,,,,,
Sống cuộc đời giàu có nhất của bạn (Robin Sharma),148000,200000,200000,"Xã hội ngày nay đã nhồi vào tâm trí chúng ta một định nghĩa thành công nông cạn: một kiểu thành công mà dù có đạt được nó bạn cũng không bao giờ thấy thỏa mãn, mà thậm chí còn rơi vào trạng thái bức b...",146,52000,26,5.0,4,Robin Sharma,NXB Trẻ,2025-05-19 00:00:00,Bìa mềm,,NXB Trẻ,,19*26.4,Thiên Kim - Thanh Trâm - Vân Trình,496,,,,,,,
Sách - Búp Sen Xanh - Bìa Cứng - Tặng Kèm Obi + Postcard Hành Trình Cứu Nước - Độc Quyền Fahasa,99000,110000,110000,"Búp Sen Xanh“Búp Sen Xanh” là cuốn tiểu thuyết nổi tiếng nhất của nhà văn Sơn Tùng - người đã dành trọn cuộc đời m.ình để viết về Bác Hồ và các vị anh hùng, những nhà cách mạng lỗi lạc của dân tộc. T...",387,11000,10,4.8,43,Sơn Tùng,Nhà Xuất Bản Kim Đồng,2023-12-21 14:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Kim Đồng,,,,,,,,,,,Tiếng Việt
Tư duy dã tràng - Tim trí giao tranh,139200,160000,160000,"Cuốn sách là viên gạch nối chúng ta với nhau, với xã hội chung quanh, với môi trường toàn cầu, tạo nên một thói quen mà chúng ta đã mất đi hoặc chưa bao giờ có: đó là khả năng lập luận, khả năng minh ...",0,20800,13,0.0,0,Phan Văn Trường,NXB Trẻ,2025-04-24 00:00:00,Bìa mềm,,NXB Trẻ,,"19,3 x 23,5 cm",,332,,,,,,,
"Hồi Ký Nguyễn Thị Bình - Gia Đình, Bạn Bè và Đất Nước",151000,159000,159000,"Đây là cuốn hồi ký của bà Nguyễn Thị Bình, nguyên Phó Chủ tịch nước, nữ Bộ trưởng Ngoại giao đầu tiên, Trưởng đoàn đàm phán của Chính phủ Cách mạng Lâm thời Cộng hòa miền Nam Việt Nam tại Hòa đàm Par...",6,8000,5,0.0,0,Nguyễn Thị Bình,Alpha Books,,Bìa mềm,,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,,268,,,,,,,
Trí Thông Minh Trên Giường,168600,219000,219000,"Để trả giá cho niềm thân mật, chúng ta đánh mất khoái lạc. Ai càng thân thuộc lại càng khiến bạn khó hoang dại. Tình yêu đòi hỏi sự gần gũi, nhưng ham muốn lại cần khoảng cách.Những lý giải của Esthe...",223,50400,23,4.8,28,Esther Perel,1980 Books,2021-05-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Thanh Niên,,13.5 x 20.5 cm,"Nhóm Tâm Lý Học 
Tội Phạm",484,,,,,,,
Combo 2 Cuốn: Truyện Cổ Grim 1 + 2,410000,410000,410000,"Từ lúc ra đời đến nay, tập truyện cổ do hai anh em Jacob và Wilhelm Grimm sưu tầm đã trở thành một trong những áng văn chương được đọc nhiều nhất và có tầm ảnh hưởng rộng rãi nhất trên thế giới. Bất c...",11,0,0,5.0,2,Wilhelm Grimm,Nhã Nam,2021-07-15 00:00:00,Bìa cứng,,Nhà Xuất Bản Hà Nội,,15.5 x 24 cm,Lan Young,892,,,,,,,
Xuân Thu Sử thi Bắc Kỳ,413100,459000,459000,"́ ̛́ - ℎ̂́ ℎ - Đ̂ ̛̛, dù trải qua bao nhiêu năm tháng lịch sử, ta cũng không thể nào quên được một thời kỳ đầy khói lửa. Nhưng lịch sử không phải chỉ có màu đỏ của máu, của lửa, màu đen của khói, của ...",1,45900,10,0.0,0,N/A,Công ty TNHH Quốc Tế Mai Hà,,Bìa cứng,,Nhà Xuất Bản Khoa Học Xã Hội,,,,408,,,,,,,
Chat GPT Thực Chiến,103090,169000,169000,"Trong thời đại hiện nay, tất cả những ai không muốn bị tụt hậu đều cần học về các công cụ AI, đặc biệt là biết cách sử dụng công cụ AI trong thực tế. Nếu nắm vững các kiến thức xoay quanh các công cụ ...",2904,65910,39,4.7,162,Dịch Dương,1980 Books,2024-07-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,,13 x 20.5 cm,Huyền Trang,263,,,,,,Có,
Kinh Dịch (Ngô Tất Tố),183500,193250,193250,"Trong lĩnh vực khảo cứu, dịch thuật, Ngô Tất Tố là người có những công trình nghiêm túc, như bộ Việt Nam văn học, các bộ Hoàng Lê Nhất Thống Chí, Đường Thi, Lão Tử, Mặc Tử, Kinh Dịđều được ông dịch và...",90,9750,5,5.0,6,Ngô Tất Tố,Nhà sách Minh Thắng,,,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Văn Học,,,,,,,,,,,
Kỹ thuật đặt câu lệnh cho ChatGPT,125000,179000,179000,"Trong lịch sử công nghệ, hiếm có nền tảng nào đạt tốc độ phát triển nhanh chóng như ChatGPT khi trở thành nền tảng đầu tiên cán mốc 100 triệu người dùng trong thời gian ngắn nhất. Những con số này khô...",293,54000,30,4.8,13,Neil Dagger,1980 Books,2025-02-18 00:00:00,Bìa mềm,,Nhà Xuất Bản Công Thương,,13 x 19 cm,Diệp Ngôn,279,,,,,,Có,
Khi Mọi Điều Không Như Ý,76300,109000,109000,"Bạn đã bao giờ cảm thấy như cuộc sống liên tục thử thách bạn, khiến bạn phải không ngừng vật lộn để vượt qua những khó khăn và thất bại bất ngờ?Từ nỗi mất mát, đau khổ và cô đơn của những trải nghiệm...",1124,32700,30,5.0,38,Hae Min,Nhã Nam,2025-03-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,,14 x 20.5 x 1.5 cm,,240,,,,,,,
Same As Ever: Quy Luật Bất Biến Về Bản Chất Con Người Và Tâm Lý Làm Giàu,148700,219000,219000,"Giới thiệu sáchCó câu nói rằng “Để biết được nơi bạn đang đi đến, bạn phải biết rõ nơi bạn đã từng ở”. Muốn có một tương lai chắc chắn, bạn phải hiểu rõ bản thân mình ở hiện tại và cần lập kế hoạch r...",514,70300,32,4.5,19,Morgan Housel,1980 Books,,Bìa mềm,,Nhà Xuất Bản Công Thương,,13x20.5cm,Hoàng Thị Minh Phúc,408,,,,,,Có,
Chat GPT Thực Chiến,103090,169000,169000,"Trong thời đại hiện nay, tất cả những ai không muốn bị tụt hậu đều cần học về các công cụ AI, đặc biệt là biết cách sử dụng công cụ AI trong thực tế. Nếu nắm vững các kiến thức xoay quanh các công cụ ...",2904,65910,39,4.7,162,Dịch Dương,1980 Books,2024-07-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,,13 x 20.5 cm,Huyền Trang,263,,,,,,Có,
Sưởi Ấm Mặt Trời: Tập 2 Của Cây Cam Ngọt,106945,160000,160000,"Sưởi Ấm Mặt Trời""Zezé, cậu bé tinh nghịch siêu hạng đồng thời cũng đáng yêu bậc nhất ngày ngào giờ đã thoát khỏi cuộc sống nghèo khó, cũng không còn phải chịu cảnh bị đánh đập thường xuyên như trong ...",2410,53055,33,5.0,146,José Mauro de Vasconcelos,Nhã Nam,,Bìa mềm,,Nhà Xuất Bản Hội Nhà Văn,,14 x 20.5cm,,376,,,,,,,
"Văn Hóa, Tín Ngưỡng Và Thực Hành Tôn Giáo Người Việt",735000,919000,919000,"Trong tác phẩm này, Léopold Cadière đã nghiên cứu văn hóa Việt Nam với các nội dung; Phong tục dân gian tại thung lũng Nguồn Son; Thần Kinh.- Tập 3: Triết lý dân gian người Việt: Vũ trụ quan; Triết l...",224,184000,20,5.0,34,N/A,Công ty TNHH Quốc Tế Mai Hà,2021-02-01 00:00:00,Bìa cứng,,Nhà Xuất Bản Thế Giới,,16 x 24 cm,Đỗ Trinh Huệ,1200,,,,,,,
ĐỈNH CAO ĐẾ QUỐC,272000,389000,389000,PHANBOOK GIỚI THIỆUĐỈNH CAO ĐẾ QUỐCĐà Lạt và sự hưng vong của Đông Dương thuộc PhápBiên khảoTác giả: Eric T. Jennings“Đà Lạt sẽ còn quyến rũ mọi người lâu dài. Dường như nó gieo niềm hoài nhớ cho...,80,117000,30,5.0,13,Trần Văn Thọ,PHANBOOK,2021-12-17 14:42:32,Bìa mềm,,Nhà Xuất Bản Đà Nẵng,,,,588,,,,,,,
Chuyện những người An Nam ở Paris hay sự thật về Đông Dương,112500,125000,125000,"      Mã hàng   8935270702717         Tên Nhà Cung Cấp   Alpha Books       Tác giả   Phan Văn Trường       Người Dịch   Sity Maria Cotika, Huỳnh Mai       NXB   NXB Đà Nẵng    ...",0,12500,10,0.0,0,N/A,Alphabooks,,,,oem,,,,,,,,,,,
"Túi giấy SDstationery A Gentle Pace Of Life 25x30 đựng quà, quần áo, họa tiết xanh trang nhã",26000,26000,26000,"Túi giấy A Gentle Pace Of Life với thiết kế trang nhã, thích hợp dùng làm túi quà sinh nhật, túi quà tặng sự kiện, dùng cho các shop thời trang…Làm từ giấy chất lượng cao cực kỳ dày dặn, kết cấu cứng...",109,0,0,5.0,3,N/A,,,,,,,,,,SDstationery,Việt Nam,Việt Nam,<p>Giấy Kraft 150gsm</p>,Không,,
Đế chế Đông Ấn Anh - William Dalrymple,411000,580000,580000,"ĐẾ CHẾ ĐÔNG ẤN ANH - WILLIAM DALRYMPLE Đế chế Đông Ấn Anh - Một lịch sử của giao thương, quyền lực và sự tham tàn, kể lại câu chuyện lịch sử ấn tượng bậc nhất: bằng cách nào mà Đế chế Mughal - vốn đ...",42,169000,29,5.0,2,William Dalrymple,PHANBOOK,2023-03-30 11:07:45,Bìa mềm,,Nhà Xuất Bản Đà Nẵng,,,,724,,,,,,,
Dẫn Dắt Một Bầy Sói Hay Chăn Một Đàn Cừu,136000,195000,195000,"Trong cuộc chiến thu hút khách hàng, các doanh nghiệp đầu tư hàng triệu đô la để cải thiện trải nghiệm của khách hàng. Họ giao hàng nhanh hơn, tung ra các sản phẩm mới và không ngừng cải tiến giao diệ...",2333,59000,30,4.7,72,Tiffani Bova,1980 Books,2024-06-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,,"13 x 20,5cm",Trương Anh Tuấn,358,,,,,,Có,
Rèn Luyện Tư Duy Phản Biện,93200,139000,139000,"Như bạn có thể thấy, chìa khóa để trở thành một người có tư duy phản biện tốt chính là sự tự nhận thức. Bạn cần phải đánh giá trung thực những điều trước đây bạn nghĩ là đúng, cũng như quá trình suy n...",30743,45800,33,4.8,4830,Albert Rutherford,1980 Books,2019-12-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Phụ Nữ,Phiên bản thường,13 x 19 cm,Nguyễn Ngọc Anh,204,,,,,,,
Bộ sách Thiên nhiên kỳ thú,15000,18000,18000,Bộ sách Thiên nhiên kỳ thúGiới thiệu tác giảBộ sách tranh Thiên nhiên kỳ thú là bộ sách do Nhà xuất bản Trẻ và Thảo Cầm Viên Sài Gòn phối hợp thực hiện. Bộ sách được viết bởi các tác giả là nhà báo...,103,3000,17,0.0,0,Hồ Huy Sơn,NXB Trẻ,2024-03-13 00:00:00,Bìa mềm,,NXB Trẻ,,18.5 x 18.5,,16,,,,,,,
Con Đường Chẳng Mấy Ai Đi,114000,165000,165000,Con Đường Chẳng Mấy Ai Đi:Có lẽ không quyển sách nào trong thế kỷ này có tác động sâu sắc đến đời sống trí tuệ và tinh thần của chúng ta hơn Con Đường Chẳng Mấy Ai Đi. Với doanh số trên 10 triệu bản ...,3573,51000,31,5.0,193,M. Scott Peck,Công ty Cổ phần Văn hóa và Công nghệ Tuệ Tri,2024-01-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,,14.5x20.5cm,Lâm Đặng Cam Thảo &amp; Lê Hoàng Thạch,344,,,,,,Có,
Tâm Lý Học Về Tiền,128300,189000,189000,"Tiền bạc có ở khắp mọi nơi, nó ảnh hưởng đến tất cả chúng ta, và khiến phần lớn chúng ta bối rối. Mọi người nghĩ về nó theo những cách hơi khác nhau một chút. Nó mang lại những bài học có thể được áp ...",27658,60700,32,4.8,3707,Morgan Housel,1980 Books,2021-01-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,Phiên bản thường,13 x 20.5 cm,Hoàng Thị Minh Phúc,384,,,,,,,
Trốn Lên Mái Nhà Để Khóc,65550,95000,95000,"TRỐN LÊN MÁI NHÀ ĐỂ KHÓC Bản Đặc BIệt Tặng Kèm Sổ Thơ + Bookmark Những cơn gió heo may len lỏi vào từng góc phố nhỏ, mùa thu về gợi nhớ bao yêu thương đong đầy, bao xúc cảm dịu dàng của ký ức. Đó là...",2289,29450,31,5.0,130,Lam,Skybooks,,Bìa mềm,,Nhà Xuất Bản Dân Trí,,12x20 cm,,208,,,,,,,
Đúng Việc,89100,125000,125000,"Đúng Việc - Một Góc Nhìn Về Câu Chuyện Khai Minh“Đúng Việc” là con đường cho mọi đổi thay có tính cách mạng của cá nhân, gia đình, tổ chức và quốc gia. Sách “Đúng Việc” đề cập đến những vấn đề căn cơ...",16468,35900,29,5.0,940,Giản Tư Trung,Viện Quản lý PACE,2023-08-17 00:00:00,Bìa cứng,,Nhà Xuất Bản Tri Thức,Phiên bản thường,<p>12x20 cm</p>,,328,,,,,,,
Lý Thuyết Trò Chơi,121500,179000,179000,"LÝ THUYẾT TRÒ CHƠIĐời người giống như trò chơi, mỗi bước đều phải cân nhắc xem đi như thế nào, đi về đâu, phải kết hợp nhiều yếu tố lại chúng ta mới có thể đưa ra được lựa chọn. Mà trong quá trình ch...",9363,57500,32,4.7,461,Trần Phách Hàm,1980 Books,2023-07-07 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,Phiên bản thường,13 x 20.5 cm,Vu Vũ,320,,,,,,,
Giải mã Hoóc-môn Dopamine,128700,198000,198000,GIẢI MÃ HOÓC-MÔN DOPAMINHoóc-môn Dopamine là gì?Dopamine là một chất dẫn truyền thần kinh tự nhiên trong cơ thể con người và động vật. Nó được sản xuất trong não và tham gia vào việc truyền tải các ...,3928,69300,35,5.0,262,Anna Lembke,Saigon Books,2023-05-23 00:00:00,,,Nhà Xuất Bản Thế Giới,Phiên bản thường,14 x 20.5 cm,Lâm Đặng Cam Thảo,348,,,,,,,
Búp Sen Xanh,50000,72000,72000,"Búp Sen XanhGiới thiệu tác giảNhà văn Sơn Tùng, sinh năm 1928 tại Diễn Châu, Nghệ An. Ông được Nhà nước phong tặng danh hiệu Anh hùng Lao động thời kì đổi mới, năm 2011. Ông là nhà văn Việt Nam với...",3296,22000,31,5.0,216,Sơn Tùng,NXB Kim Đồng,2023-05-11 00:00:00,Bìa cứng,,Nhà Xuất Bản Kim Đồng,Phiên bản thường,13x19,,444,,,,,,,Tiếng Việt
"Beartown - Thị trấn nhỏ, giấc mơ lớn",155000,210000,210000,"Từ tác giả cuốn sách bán chạy toàn cầu “Người đàn ông mang tên Ove” Fredrik Backman cuốn hút người đọc vào cuốn tiểu thuyết sâu sắc, quyến rũ về một thị trấn nhỏ mang giấc mơ lớn – và cái giá phải trả...",1213,55000,26,5.0,109,Fredrik Backman,NXB Trẻ,2023-04-12 00:00:00,Bìa mềm,,NXB Trẻ,Phiên bản thường,13 x 20 cm,Hoàng Anh,604,,,,,,,
Giải Trí Đến Chết,121500,179000,179000,"“Tác phẩm kinh điển bán chạy nhất của bậc thầy Neil Postman, một bậc thầy về nghiên cứu văn hóa truyền thông.’’- Tại sao bây giờ những công việc liên quan đến giải trí lại kiếm được khá nhiều ?- Tại...",1270,57500,32,4.7,95,Neil Postman,1980 Books,2023-01-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Lao Động,Phiên bản thường,"13x20,5cm",Nhung Nguyễn,336,,,,,,,
Bookmark kẹp sách giấy cứng,2000,2000,2000, Bookmark thẻ đánh dấu sách sáng tạo  Số lượng: 1 thẻKích thước: 4 * 15cmChất liệu: GiấyTrọng lượng: 65gNăm phát hành : 2021...,9548,0,0,3.0,2,N/A,1980 Books,,,,Nhà Xuất Bản Thanh Niên,,,,,,,,,,,
Định luật Murphy – Mọi bí mật tâm lý thao túng cuộc đời bạn,82110,119000,119000,"Nếu một điều tồi tệ có thể xảy ra, nó sẽ xảy ra!Khi một món đồ quan trọng bị rơi, nó có xu hướng lăn tới dưới ngăn tủ nặng nhất.Khi hai tay bạn cầm đầy đồ đạc, mũi bạn bắt đầu ngứa.Khi bạn sợ gặp m...",8079,36890,31,4.8,601,Từ Thính Phong,Skybooks,2022-12-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,Phiên bản thường,14 x 20.5 cm,Hà Dung,280,,,,,,,
Gánh gánh… gồng gồng… (Xuân Phượng hồi ký),121000,160000,160000,"Gánh gánh… gồng gồng…“Mình bị hút hồn bởi bìa của cuốn sách này. Đây là một phần tác phẩm ""Đường về"" của họa sĩ Trương Đình Hào sáng tác năm 1991. Hình ảnh ấn tượng nhất: mẹ Phượng một mình gánh hai ...",1457,39000,24,5.0,82,Nguyễn Thị Xuân Phượng,NXB Tổng hợp TP.HCM,2022-01-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Tổng hợp TP.HCM,Phiên bản thường,16 x 24 cm,,307,,,,,,,
Người Đàn Ông Mang Tên Ove (Tái Bản 2022),114000,160000,160000,Người đàn ông mang tên Ove năm nay năm mươi chín tuổi. Ông là kiểu người hay chỉ thẳng mặt những kẻ mà ông không ưa như thể họ là bọn ăn trộm và ngón trỏ của ông là cây đèn pin của cảnh sát. Ove tin t...,4991,46000,29,5.0,402,Fredrik Backman,NXB Trẻ,2022-11-11 00:00:00,Bìa mềm,,NXB Trẻ,Phiên bản thường,13x20.5cm,Hoàng Anh,452,,,,,,,
Bốn Thỏa Ước,66000,130000,130000,"BỐN THỎA ƯỚCBí quyết sống tự do, bình an, hạnh phúc giữa thế giới bất địnhdon Miguel Ruiz - Hậu duệ của người Toltec cổ xưaHàng ngàn năm trước, người Toltec nổi tiếng khắp miền Nam Mexico là những ...",3827,64000,49,5.0,236,Don Miguel Ruiz,Saigon Books,2022-01-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Dân Trí,Phiên bản thường,13 x 19 cm,Nguyễn Phi Vân,190,,,,,,,
Combo 2 cuốn Truyện Dành Cho Thiếu Nhi : Tuổi Thơ Dữ Dội - Tập 1 + 2 (Tái Bản),104000,160000,160000,"Combo 2 cuốn Truyện Dành Cho Thiếu Nhi : Tuổi Thơ Dữ Dội - Tập 1 + 2 (Tái Bản)Giới thiệu tác giảPhùng Quán là một trong những nhà văn nổi tiếng của Việt Nam, được biết đến với những tác phẩm chân t...",1237,56000,35,5.0,109,N/A, NXB Kim Đồng,,,,Nhà Xuất Bản Kim Đồng,,,,,,,,,,,Tiếng Việt
Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ Atomic Habits (Tái Bản Lần 4),146000,189000,189000,Nằm trong Top 20 tựa sách thể loại non-fiction bán chạy và được tìm đọc nhiều nhất của Amazon suốt 40 tuần tính đến tháng 9/2019.“Thành công là sản phẩm của thói quen hằng ngày – không phải của một c...,10863,43000,23,4.8,830,James Clear,Phương Nam Book,2022-03-03 00:00:00,Bìa mềm,,Nhà Xuất Bản Thế Giới,Phiên bản thường,14 x 20.5 cm,Vũ Phi Yên - Trần Quỳnh Như,385,,,,,,,
Flow - Dòng Chảy,152760,228000,228000,"“FLOW - DÒNG CHẢY”Dành cho những ai muốn tối ưu khả năng tập trung để tìm kiếm sự gắn kết trong công việc, hướng đến sự viên mãn, và hạnh phúc trong mọi trải nghiệm cuộc sống.Có bao giờ bạn hoàn toà...",8430,75240,33,5.0,742,Mihaly Csikszentmihalyi,First News - Trí Việt,2021-11-01 00:00:00,Bìa gập,,Nhà Xuất Bản Dân Trí,Phiên bản thường,14.5 x 20.5 cm,Huỳnh Hiếu Thuận,556,,,,,,,
Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản),73800,90000,90000,"Sách Tuổi Trẻ Đáng Giá Bao Nhiêu (Tái Bản 2021) “Bạn hối tiếc vì không nắm bắt lấy một cơ hội nào đó, chẳng có ai phải mất ngủ.Bạn trải qua những ngày tháng nhạt nhẽo với công việc bạn căm ghét, ...",1400,16200,18,5.0,180,Rosie Nguyễn,Nhã Nam,2021-07-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Hội Nhà Văn,,14 x 20.5 cm,,291,,,,,,,
"Deep Work - Làm Ra Làm, Chơi Ra Chơi (Tái Bản)",112000,159000,159000,"Đã bao giờ bạn ngồi xuống để làm việc và sau đó, không hề nhận ra mình lại kết thúc bằng việc dành một (vài) tiếng đồng hồ lướt Youtube, Facebook, tin tức? Tất cả chúng ta đều đã từng làm vậy. Có vẻ n...",3084,47000,30,4.7,288,Cal Newport,Alphabooks,2021-05-01 00:00:00,Bìa mềm,,Nhà Xuất Bản Công Thương,Phiên bản thường,13 x 20.5 cm,Mai Anh,352,,,,,,,
Trí Tuệ Xúc Cảm,169100,199000,199000,"Trí Tuệ Xúc Cảm đã nằm trong danh sách bán chạy nhất của Thời báo New York trong một năm rưỡi, với hơn 5.000.000 bản in trên toàn thế giới bằng 40 ngôn ngữ và đã là sách bán chạy nhất ở nhiều quốc gia...",255,29900,15,4.8,50,Daniel Goleman,Alphabooks,2021-02-24 09:30:15,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Công Thương,,15 x 23 cm,Nguyễn Lê Phương-Phạm Thị Thu Hà,468,,,,,,,
Cây Cam Ngọt Của Tôi,85300,108000,108000,“Vị chua chát của cái nghèo hòa trộn với vị ngọt ngào khi khám phá ra những điều khiến cuộc đời này đáng số một tác phẩm kinh điển của Brazil.”- Booklist“Một cách nhìn cuộc sống gần như hoàn chỉnh t...,4943,22700,21,5.0,653,José Mauro de Vasconcelos,Nhã Nam,,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Hội Nhà Văn,,14 x 20.5 cm,"Nguyễn Bích Lan , Tô Yến Ly",244,,,,,,,
Sách Thay Đổi Cuộc Sống Với Nhân Số Học - Lê Đỗ Quỳnh Hương,124000,248000,248000,Thay Đổi Cuộc Sống Với Nhân Số HọcCuốn sách Thay đổi cuộc sống với Nhân số học là tác phẩm được chị Lê Đỗ Quỳnh Hương phát triển từ tác phẩm gốc “The Complete Book of Numerology” của tiến sỹ David A....,32428,124000,50,4.8,5284,David A. Phillips,First News - Trí Việt,2020-10-01 00:00:00,Bìa gập,,Nhà Xuất Bản Tổng hợp TP.HCM,Phiên bản thường,16 x 24 cm,Lê Đỗ Quỳnh Hương,342,,,,,,,
Trường Ca Achilles (Quà Tặng Kèm: 01 Bookmark + 01 Phụ Lục),124800,156000,156000,"""HUYỀN THOẠI BẮT ĐẦU…Hy Lạp vào thời hoàng kim của các anh hùng. Patroclus là một hoàng tử trẻ vụng về, bị trục xuất tới vương quốc Phthia và được nuôi dạy dưới sự che chở của vua Peleus cùng cậu con...",678,31200,20,5.0,196,Madeline Miller,Wings Books,,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Kim Đồng,,14 x 22.5 cm,Jack Frogg,444,,,,,,,
Tối Đa Hóa Hiệu Suất Công Việc – Việc 12 Tháng Làm Trong 12 Tuần,129000,169000,169000,"Chúng ta ai cũng có 24h mỗi ngày, có người thành công nhưng cũng có kẻ thất bại. Và cái hơn nhau ở chỗ người thành công họ tối đa hóa hiệu suất công việc.Cách bạn bắt đầu hay kết thúc một ngày đều có...",1477,40000,24,4.7,172,N/A,BIZBOOKS,,,,Nhà Xuất Bản Hồng Đức,,,,,,,,,,,
Nhà Giả Kim (Tái Bản 2020),62400,79000,79000,"Sơ lược về tác phẩmTất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người.Tiểu ...",5050,16600,21,5.0,1015,Paulo Coelho,Nhã Nam,2020-04-01 00:00:00,Bìa mềm,Nhà bán giao hàng cho khách hàng,Nhà Xuất Bản Hà Nội,,13 x 21 cm,,228,,,,,,,
